Code,ICD-9 Code,Description,HCUP CCS Classification,HCC Category,CCW Classification,CDPS Classification
1623,1974,Sec malig neo sm bowel,2ndary malig,HCC7 Metastatic Cancer and Acute Leukemia,,"Cancer, Very High"
1624,1975,Sec malig neo lg bowel,2ndary malig,HCC7 Metastatic Cancer and Acute Leukemia,,"Cancer, Very High"
1625,1976,Sec mal neo peritoneum,2ndary malig,HCC7 Metastatic Cancer and Acute Leukemia,,"Cancer, Very High"
1626,1977,Second malig neo liver,2ndary malig,HCC7 Metastatic Cancer and Acute Leukemia,,"Cancer, Very High"
1627,1978,Sec mal neo GI NEC,2ndary malig,HCC7 Metastatic Cancer and Acute Leukemia,,"Cancer, Very High"
1628,1980,Second malig neo kidney,2ndary malig,HCC7 Metastatic Cancer and Acute Leukemia,,"Cancer, Very High"
1629,1981,Sec malig neo urin NEC,2ndary malig,HCC7 Metastatic Cancer and Acute Leukemia,,"Cancer, Very High"
1630,1982,Secondary malig neo skin,2ndary malig,HCC7 Metastatic Cancer and Acute Leukemia,,"Cancer, Very High"
1631,1983,Sec mal neo brain/spine,2ndary malig,HCC7 Metastatic Cancer and Acute Leukemia,,"Cancer, Very High"
1632,1984,Sec malig neo nerve NEC,2ndary malig,HCC7 Metastatic Cancer and Acute Leukemia,,"Cancer, Very High"
1633,1985,Secondary malig neo bone,2ndary malig,HCC7 Metastatic Cancer and Acute Leukemia,,"Cancer, Very High"
1634,1986,Second malig neo ovary,2ndary malig,HCC7 Metastatic Cancer and Acute Leukemia,,"Cancer, Very High"
1635,1987,Second malig neo adrenal,2ndary malig,HCC7 Metastatic Cancer and Acute Leukemia,,"Cancer, Very High"
1636,19881,Second malig neo breast,2ndary malig,HCC7 Metastatic Cancer and Acute Leukemia,,"Cancer, Very High"
1637,19882,Second malig neo genital,2ndary malig,HCC7 Metastatic Cancer and Acute Leukemia,,"Cancer, Very High"
1638,19889,Secondary malig neo NEC,2ndary malig,HCC7 Metastatic Cancer and Acute Leukemia,,"Cancer, Very High"
1639,1990,Malig neo disseminated,Malig neopls,HCC7 Metastatic Cancer and Acute Leukemia,,"Cancer, Medium"
1640,1991,Malignant neoplasm NOS,Malig neopls,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Medium"
1641,1992,Malig neopl-transp organ,Malig neopls,"HCC10 Breast, Prostate, Colorectal and Other Cancers and Tumors",,"Cancer, Medium"
1642,20000,Retclsrc unsp xtrndl org,Non-Hodg lym,"HCC9 Lymphatic, Head and Neck, Brain, and Other Major Cancers",,"Cancer, Medium"
